sample_id,query,Answer,image_path,truth_answers,code,accuracy,0
201037166.0,What is the girl in front of?,right,./data/gqa/../images/n393305.jpg,traffic sign,"def execute_command_201037166(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    girl_patches = image_patch.find(""girl"")
    # Question assumes only one girl patch
    if len(girl_patches) == 0:
        # If no girl is found, query the image directly
        return image_patch.simple_query(""What is the girl in front of?"")
    for girl_patch in girl_patches:
        if girl_patch.horizontal_center < image_patch.horizontal_center:
            return ""left""
        else:
            return ""right""",0.0,
201895947.0,Is the material of the window the same as the table?,no,./data/gqa/../images/n111390.jpg,yes,"def execute_command_201895947(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    window_patches = image_patch.find(""window"")
    # Question assumes only one window patch
    if len(window_patches) == 0:
        # If no window is found, query the image directly
        return image_patch.simple_query(""Is the material of the window the same as the table?"")
    window_patch = window_patches[0]
    table_patches = image_patch.find(""table"")
    # Question assumes only one table patch
    if len(table_patches) == 0:
        # If no table is found, query the image directly
        return image_patch.simple_query(""Is the material of the window the same as the table?"")
    table_patch = table_patches[0]
    return bool_to_yesno(window_patch.verify_property(""window"", ""same as"") == table_patch.verify_property(""table"", ""same as""))",0.0,
201623630.0,What kind of appliance is to the left of the oven?," a microwave
",./data/gqa/../images/n501609.jpg,refrigerator,"def execute_command_201623630(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    appliance_patches = image_patch.find(""appliance"")
    # Question assumes only one appliance patch
    if len(appliance_patches) == 0:
        # If no appliance is found, query the image directly
        return image_patch.simple_query(""What kind of appliance is to the left of the oven?"")
    for appliance_patch in appliance_patches:
        if appliance_patch.horizontal_center < image_patch.horizontal_center:
            return appliance_patch.simple_query(""What kind of appliance is to the left of the oven?"")
    return ""none""",0.0,
201509814.0,What's the motorcycle on?,top,./data/gqa/../images/n62458.jpg,stone,"def execute_command_201509814(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    motorcycle_patches = image_patch.find(""motorcycle"")
    # Question assumes only one motorcycle patch
    if len(motorcycle_patches) == 0:
        # If no motorcycle is found, query the image directly
        return image_patch.simple_query(""What's the motorcycle on?"")
    for motorcycle_patch in motorcycle_patches:
        if motorcycle_patch.vertical_center < image_patch.vertical_center:
            return ""bottom""
        else:
            return ""top""",0.0,
20151545.0,Are there both coffee and food in this image?,yes,./data/gqa/../images/n313060.jpg,no,"def execute_command_20151545(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    coffee_patches = image_patch.find(""coffee"")
    food_patches = image_patch.find(""food"")
    return bool_to_yesno(len(coffee_patches) and len(food_patches))
# What is the man doing?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""What is the man doing?"")
    for man_patch in man_patches:
        if man_patch.horizontal_center > image_patch.horizontal_center:
            return ""eating""
    return ""standing""
# What is the man doing?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patch",0.0,
20953092.0,Is the male person wearing a uniform?,yes,./data/gqa/../images/n413319.jpg,no,"def execute_command_20953092(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    male_patches = image_patch.find(""male"")
    # Question assumes only one male patch
    if len(male_patches) == 0:
        # If no male is found, query the image directly
        return image_patch.simple_query(""Is the male person wearing a uniform?"")
    for male_patch in male_patches:
        if male_patch.verify_property(""male"", ""uniform""):
            return ""yes""
    return ""no""",0.0,
201873301.0,What is located on top of the fire truck that is not dirty?," the ladder
",./data/gqa/../images/n309148.jpg,bucket,"def execute_command_201873301(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    fire_truck_patches = image_patch.find(""fire truck"")
    # Question assumes only one fire truck patch
    if len(fire_truck_patches) == 0:
        # If no fire truck is found, query the image directly
        return image_patch.simple_query(""What is located on top of the fire truck that is not dirty?"")
    fire_truck_patch = fire_truck_patches[0]
    for patch in image_patch.find(""dirty""):
        if patch.horizontal_center == fire_truck_patch.horizontal_center and patch.vertical_center == fire_truck_patch.vertical_center:
            return ""dirty""
    return image_patch.simple_query(""What is located on top of the fire truck that is not dirty?"")",0.0,
201711393.0,On which side of the picture is the square box?," on the left side of the picture
",./data/gqa/../images/n302387.jpg,left,"def execute_command_201711393(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    square_patches = image_patch.find(""square"")
    # Question assumes only one square patch
    if len(square_patches) == 0:
        # If no square is found, query the image directly
        return image_patch.simple_query(""On which side of the picture is the square box?"")
    for square_patch in square_patches:
        if square_patch.vertical_center < image_patch.vertical_center:
            return ""left""
        else:
            return ""right""",0.0,
201711163.0,Which kind of furniture is to the left of the instrument?," none
",./data/gqa/../images/n302387.jpg,shelf,"def execute_command_201711163(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    instrument_patches = image_patch.find(""instrument"")
    # Question assumes only one instrument patch
    if len(instrument_patches) == 0:
        # If no instrument is found, query the image directly
        return image_patch.simple_query(""Which kind of furniture is to the left of the instrument?"")
    instrument_patch = instrument_patches[0]
    furniture_patches = image_patch.find(""furniture"")
    for furniture_patch in furniture_patches:
        if furniture_patch.horizontal_center < instrument_patch.horizontal_center:
            return furniture_patch.simple_query(""Which kind of furniture is to the left of the instrument?"")
    return ""none""",0.0,
202004293.0,Is the device that is to the right of the backpack bright and large?,no,./data/gqa/../images/n262920.jpg,yes,"def execute_command_202004293(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    device_patches = image_patch.find(""device"")
    # Question assumes only one device patch
    if len(device_patches) == 0:
        # If no device is found, query the image directly
        return image_patch.simple_query(""Is the device that is to the right of the backpack bright and large?"")
    for device_patch in device_patches:
        if device_patch.simple_query(""Is the device bright and large?"") == ""yes"":
            return ""yes""
    return ""no""",0.0,
